Analysis Type:	PANTHER Enrichment Test (release 20220712)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	alert.range.index.txt (Homo sapiens)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
GO molecular function complete	number	overUnder	pvalue	fdr
arachidonic acid 11,12-epoxygenase activity (GO:0008405)	1	-	3.14E-01	7.24E-01
clathrin binding (GO:0030276)	67	-	3.14E-01	7.24E-01
pyridoxal phosphate binding (GO:0030170)	47	-	3.15E-01	7.25E-01
vitamin B6 binding (GO:0070279)	47	-	3.15E-01	7.25E-01
corticotropin-releasing hormone receptor 1 binding (GO:0051430)	3	+	3.15E-01	7.25E-01
nitric-oxide synthase activity (GO:0004517)	3	+	3.15E-01	7.25E-01
inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity (GO:0052659)	6	+	3.15E-01	7.25E-01
nitric oxide binding (GO:0070026)	2	-	3.15E-01	7.24E-01
5'-nucleotidase activity (GO:0008253)	10	-	3.16E-01	7.25E-01
tyrosine-tRNA ligase activity (GO:0004831)	2	+	3.16E-01	7.24E-01
steroid 17-alpha-monooxygenase activity (GO:0004508)	1	+	3.16E-01	7.24E-01
17-alpha-hydroxyprogesterone aldolase activity (GO:0047442)	1	+	3.16E-01	7.24E-01
NAD+-protein-serine ADP-ribosyltransferase activity (GO:0140805)	2	-	3.16E-01	7.24E-01
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	39	+	3.16E-01	7.24E-01
glycerone-phosphate O-acyltransferase activity (GO:0016287)	1	+	3.16E-01	7.24E-01
pyrimidine-nucleoside phosphorylase activity (GO:0016154)	1	-	3.17E-01	7.25E-01
high-affinity lysine transmembrane transporter activity (GO:0005292)	1	-	3.17E-01	7.25E-01
high-affinity L-arginine transmembrane transporter activity (GO:0005289)	1	-	3.17E-01	7.25E-01
high-affinity basic amino acid transmembrane transporter activity (GO:0005287)	1	-	3.17E-01	7.24E-01
protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity (GO:0004671)	1	+	3.17E-01	7.24E-01
glycine C-acetyltransferase activity (GO:0008890)	1	+	3.17E-01	7.24E-01
cysteine-tRNA ligase activity (GO:0004817)	2	+	3.18E-01	7.25E-01
S-methylmethionine-homocysteine S-methyltransferase activity (GO:0061627)	1	-	3.18E-01	7.25E-01
prolactin receptor binding (GO:0005148)	1	-	3.18E-01	7.25E-01
adenosine 3',5'-bisphosphate transmembrane transporter activity (GO:0071077)	3	+	3.18E-01	7.24E-01
sialic acid binding (GO:0033691)	10	-	3.18E-01	7.24E-01
delta14-sterol reductase activity (GO:0050613)	2	-	3.18E-01	7.24E-01
3'-5' exonuclease activity (GO:0008408)	51	+	3.18E-01	7.24E-01
deoxyhypusine monooxygenase activity (GO:0019135)	1	+	3.18E-01	7.24E-01
UDP-N-acetylglucosamine diphosphorylase activity (GO:0003977)	2	-	3.18E-01	7.24E-01
IMP 5'-nucleotidase activity (GO:0050483)	2	-	3.19E-01	7.24E-01
CCR2 chemokine receptor binding (GO:0031727)	2	-	3.19E-01	7.24E-01
dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity (GO:0004583)	2	-	3.19E-01	7.24E-01
type 2 angiotensin receptor binding (GO:0031703)	1	-	3.19E-01	7.24E-01
serine-pyruvate transaminase activity (GO:0004760)	1	-	3.19E-01	7.23E-01
inositol hexakisphosphate binding (GO:0000822)	3	+	3.20E-01	7.24E-01
starch binding (GO:2001070)	3	+	3.20E-01	7.24E-01
polynucleotide 3'-phosphatase activity (GO:0046403)	2	-	3.20E-01	7.24E-01
C-C chemokine receptor activity (GO:0016493)	14	-	3.20E-01	7.24E-01
choline transmembrane transporter activity (GO:0015220)	4	-	3.20E-01	7.24E-01
interleukin-17 receptor activity (GO:0030368)	8	+	3.20E-01	7.24E-01
glucose:sodium symporter activity (GO:0005412)	5	+	3.21E-01	7.24E-01
voltage-gated calcium channel activity involved SA node cell action potential (GO:0086059)	2	-	3.21E-01	7.24E-01
ABC-type heme transporter activity (GO:0015439)	1	-	3.21E-01	7.25E-01
CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:0003882)	1	-	3.22E-01	7.26E-01
hyalurononglucosaminidase activity (GO:0004415)	5	+	3.22E-01	7.26E-01
mRNA methyltransferase activity (GO:0008174)	12	+	3.22E-01	7.26E-01
inositol 1,3,4,5 tetrakisphosphate binding (GO:0043533)	5	+	3.22E-01	7.25E-01
peroxisome matrix targeting signal-1 binding (GO:0005052)	2	+	3.22E-01	7.25E-01
glycogen (starch) synthase activity (GO:0004373)	2	+	3.23E-01	7.26E-01
snRNP binding (GO:0070990)	6	-	3.23E-01	7.26E-01
ornithine decarboxylase activator activity (GO:0042978)	2	-	3.23E-01	7.26E-01
acid phosphatase activity (GO:0003993)	7	-	3.23E-01	7.26E-01
sequence-specific mRNA binding (GO:1990825)	12	+	3.23E-01	7.26E-01
phytanate-CoA ligase activity (GO:0050197)	2	-	3.24E-01	7.27E-01
pristanate-CoA ligase activity (GO:0070251)	2	-	3.24E-01	7.26E-01
triacyl lipopeptide binding (GO:0042497)	1	-	3.24E-01	7.27E-01
methionine transmembrane transporter activity (GO:0043865)	1	-	3.25E-01	7.28E-01
L-methionine transmembrane transporter activity (GO:0015191)	1	-	3.25E-01	7.27E-01
L-ascorbic acid transmembrane transporter activity (GO:0015229)	2	+	3.25E-01	7.27E-01
polypeptide N-acetylgalactosaminyltransferase activity (GO:0004653)	17	-	3.26E-01	7.29E-01
alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity (GO:0030144)	2	+	3.26E-01	7.29E-01
protein-arginine omega-N asymmetric methyltransferase activity (GO:0035242)	7	-	3.26E-01	7.28E-01
neutral amino acid:sodium symporter activity (GO:0005295)	5	+	3.26E-01	7.29E-01
interleukin-3 receptor activity (GO:0004912)	1	-	3.26E-01	7.29E-01
endoribonuclease inhibitor activity (GO:0060698)	2	-	3.26E-01	7.29E-01
UDP-xylose transmembrane transporter activity (GO:0005464)	1	+	3.26E-01	7.29E-01
fatty acid transmembrane transporter activity (GO:0015245)	7	-	3.26E-01	7.28E-01
signal sequence binding (GO:0005048)	46	+	3.27E-01	7.28E-01
CD40 receptor binding (GO:0005174)	1	+	3.27E-01	7.28E-01
phosphocholine phosphatase activity (GO:0052731)	1	+	3.27E-01	7.28E-01
zinc:bicarbonate symporter activity (GO:0140412)	1	+	3.28E-01	7.30E-01
selenite:proton symporter activity (GO:0097079)	1	+	3.28E-01	7.29E-01
inorganic diphosphate phosphatase activity (GO:0004427)	4	+	3.28E-01	7.30E-01
iron chaperone activity (GO:0034986)	3	+	3.28E-01	7.29E-01
ubiquitin-protein transferase inhibitor activity (GO:0055105)	10	-	3.29E-01	7.30E-01
bubble DNA binding (GO:0000405)	6	-	3.29E-01	7.30E-01
oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664)	8	+	3.29E-01	7.30E-01
(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity (GO:0003947)	1	+	3.29E-01	7.30E-01
mu-type opioid receptor binding (GO:0031852)	2	+	3.29E-01	7.30E-01
RNA-directed DNA polymerase activity (GO:0003964)	6	-	3.29E-01	7.31E-01
telomerase activity (GO:0003720)	6	-	3.29E-01	7.30E-01
histone deacetylase inhibitor activity (GO:0046811)	2	+	3.30E-01	7.30E-01
satellite DNA binding (GO:0003696)	4	+	3.30E-01	7.31E-01
anandamide 14,15 epoxidase activity (GO:0062189)	2	-	3.31E-01	7.32E-01
anandamide epoxidase activity (GO:0062186)	2	-	3.31E-01	7.32E-01
adenosylhomocysteinase activity (GO:0004013)	1	-	3.31E-01	7.32E-01
trialkylsulfonium hydrolase activity (GO:0016802)	1	-	3.31E-01	7.32E-01
N-acylsphingosine amidohydrolase activity (GO:0017040)	6	+	3.31E-01	7.32E-01
UDP-N-acetylgalactosamine diphosphorylase activity (GO:0052630)	1	-	3.31E-01	7.31E-01
farnesylcysteine lyase activity (GO:0102149)	1	+	3.32E-01	7.32E-01
ribonuclease E activity (GO:0008995)	1	-	3.32E-01	7.32E-01
isovaleryl-CoA dehydrogenase activity (GO:0008470)	1	-	3.32E-01	7.32E-01
butyryl-CoA dehydrogenase activity (GO:0004085)	1	-	3.32E-01	7.32E-01
group II metabotropic glutamate receptor activity (GO:0001641)	2	-	3.32E-01	7.32E-01
prostaglandin-endoperoxide synthase activity (GO:0004666)	1	+	3.33E-01	7.32E-01
nucleosome binding (GO:0031491)	54	+	3.33E-01	7.32E-01
inositol tetrakisphosphate phosphatase activity (GO:0052743)	8	+	3.33E-01	7.32E-01
IgM binding (GO:0001791)	1	+	3.33E-01	7.33E-01
carnosine synthase activity (GO:0047730)	1	+	3.34E-01	7.34E-01
homocarnosine synthase activity (GO:0102102)	1	+	3.34E-01	7.33E-01
glucose-6-phosphate isomerase activity (GO:0004347)	1	-	3.34E-01	7.33E-01
N-acylneuraminate-9-phosphatase activity (GO:0050124)	1	-	3.34E-01	7.33E-01
chromatin loop anchoring activity (GO:0140587)	2	-	3.34E-01	7.33E-01
promoter-enhancer loop anchoring activity (GO:0140585)	2	-	3.34E-01	7.33E-01
DNA-DNA tethering activity (GO:0106260)	2	-	3.34E-01	7.32E-01
acid-thiol ligase activity (GO:0016878)	25	-	3.34E-01	7.32E-01
activin receptor activity, type II (GO:0016362)	2	-	3.35E-01	7.32E-01
heparosan-N-sulfate-glucuronate 5-epimerase activity (GO:0047464)	1	-	3.35E-01	7.33E-01
S-(hydroxymethyl)glutathione dehydrogenase activity (GO:0051903)	1	-	3.35E-01	7.33E-01
ATP citrate synthase activity (GO:0003878)	1	+	3.35E-01	7.33E-01
formaldehyde dehydrogenase activity (GO:0018467)	1	-	3.35E-01	7.32E-01
S-(hydroxymethyl)glutathione dehydrogenase NAD activity (GO:0106322)	1	-	3.35E-01	7.32E-01
S-(hydroxymethyl)glutathione dehydrogenase NADP activity (GO:0106321)	1	-	3.35E-01	7.32E-01
NADH dehydrogenase activity (GO:0003954)	37	+	3.35E-01	7.31E-01
transcription coregulator binding (GO:0001221)	100	+	3.35E-01	7.32E-01
isopentenyl-diphosphate delta-isomerase activity (GO:0004452)	1	-	3.36E-01	7.31E-01
acetyl-CoA hydrolase activity (GO:0003986)	4	-	3.36E-01	7.31E-01
ATP-dependent chromatin remodeler activity (GO:0140658)	34	+	3.37E-01	7.33E-01
iron-cytochrome-c reductase activity (GO:0047726)	1	+	3.37E-01	7.33E-01
nitric oxide dioxygenase activity (GO:0008941)	1	+	3.37E-01	7.33E-01
succinate-hydroxymethylglutarate CoA-transferase activity (GO:0047369)	1	-	3.37E-01	7.32E-01
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of two atoms of oxygen into one donor (GO:0016708)	1	+	3.37E-01	7.32E-01
tRNA 4-demethylwyosine alpha-amino-alpha-carboxypropyltransferase activity (GO:0102522)	1	-	3.37E-01	7.32E-01
IgE receptor activity (GO:0019767)	1	-	3.37E-01	7.33E-01
mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity (GO:0004572)	2	+	3.38E-01	7.34E-01
phosphatidylinositol-3,5-bisphosphate binding (GO:0080025)	23	+	3.38E-01	7.33E-01
peptidoglycan binding (GO:0042834)	4	-	3.38E-01	7.33E-01
tropomyosin binding (GO:0005523)	11	-	3.38E-01	7.33E-01
HLA-E specific inhibitory MHC class Ib receptor activity (GO:0062082)	1	-	3.39E-01	7.34E-01
inhibitory MHC class Ib receptor activity (GO:0062080)	1	-	3.39E-01	7.34E-01
pituitary adenylate cyclase activating polypeptide activity (GO:0016521)	1	-	3.39E-01	7.35E-01
pituitary adenylate cyclase-activating polypeptide receptor binding (GO:0031858)	1	-	3.39E-01	7.35E-01
phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)	32	-	3.40E-01	7.34E-01
SUMO transferase activity (GO:0019789)	23	+	3.40E-01	7.35E-01
malonyl-CoA synthetase activity (GO:0090409)	1	+	3.40E-01	7.35E-01
miRNA binding (GO:0035198)	26	+	3.41E-01	7.36E-01
L-fucose mutarotase activity (GO:0036373)	1	-	3.41E-01	7.35E-01
molecular adaptor activity (GO:0060090)	434	+	3.41E-01	7.36E-01
interferon-gamma receptor activity (GO:0004906)	2	+	3.41E-01	7.35E-01
snoRNP binding (GO:0030519)	2	-	3.41E-01	7.35E-01
box C/D snoRNP complex binding (GO:0062064)	2	-	3.41E-01	7.35E-01
calcium channel regulator activity (GO:0005246)	40	-	3.41E-01	7.35E-01
denatured protein binding (GO:0031249)	1	-	3.42E-01	7.37E-01
inositol-polyphosphate 5-phosphatase activity (GO:0004445)	8	+	3.42E-01	7.36E-01
glutamate receptor binding (GO:0035254)	40	-	3.42E-01	7.37E-01
ADP-ribosylserine hydrolase activity (GO:0140292)	1	-	3.42E-01	7.36E-01
L-dopa O-methyltransferase activity (GO:0102084)	2	-	3.43E-01	7.36E-01
catechol O-methyltransferase activity (GO:0016206)	2	-	3.43E-01	7.36E-01
orcinol O-methyltransferase activity (GO:0102938)	2	-	3.43E-01	7.35E-01
cAMP binding (GO:0030552)	20	+	3.43E-01	7.35E-01
RNA polymerase I cis-regulatory region sequence-specific DNA binding (GO:0001165)	1	-	3.43E-01	7.36E-01
propanoyl-CoA C-acyltransferase activity (GO:0033814)	1	-	3.43E-01	7.36E-01
propionyl-CoA C2-trimethyltridecanoyltransferase activity (GO:0050632)	1	-	3.43E-01	7.36E-01
snRNA methyltransferase activity (GO:0106346)	2	+	3.44E-01	7.36E-01
RNA polymerase I core binding (GO:0001042)	3	-	3.44E-01	7.36E-01
aldose 1-epimerase activity (GO:0004034)	1	-	3.44E-01	7.36E-01
histone kinase activity (H3-T11 specific) (GO:0035402)	2	+	3.45E-01	7.37E-01
site-specific DNA-methyltransferase (adenine-specific) activity (GO:0009007)	2	+	3.45E-01	7.38E-01
delta-catenin binding (GO:0070097)	11	-	3.46E-01	7.39E-01
DNA-N1-methyladenine dioxygenase activity (GO:0043734)	3	+	3.46E-01	7.39E-01
N-acetylphosphatidylethanolamine-hydrolysing phospholipase activity (GO:0102200)	1	+	3.46E-01	7.39E-01
mRNA (cytidine-5-)-methyltransferase activity (GO:0062152)	1	+	3.46E-01	7.39E-01
thyroid-stimulating hormone receptor activity (GO:0004996)	1	+	3.47E-01	7.39E-01
histone methyltransferase binding (GO:1990226)	11	-	3.47E-01	7.40E-01
biotin carboxylase activity (GO:0004075)	1	+	3.47E-01	7.39E-01
hydrolase activity (GO:0016787)	1874	+	3.47E-01	7.40E-01
sour taste receptor activity (GO:0033040)	1	-	3.48E-01	7.40E-01
opsonin binding (GO:0001846)	13	-	3.48E-01	7.40E-01
pantetheine hydrolase activity (GO:0017159)	1	+	3.48E-01	7.40E-01
dCMP deaminase activity (GO:0004132)	1	-	3.48E-01	7.40E-01
L-alanine transmembrane transporter activity (GO:0015180)	8	+	3.48E-01	7.40E-01
glycine N-benzoyltransferase activity (GO:0047962)	1	-	3.48E-01	7.40E-01
glycine N-acyltransferase activity (GO:0047961)	1	-	3.48E-01	7.40E-01
alpha-glucoside transmembrane transporter activity (GO:0015151)	1	-	3.49E-01	7.40E-01
low-affinity glucose:sodium symporter activity (GO:0005362)	1	-	3.49E-01	7.40E-01
supercoiled DNA binding (GO:0097100)	5	-	3.49E-01	7.41E-01
deSUMOylase activity (GO:0016929)	7	+	3.50E-01	7.41E-01
acid-amino acid ligase activity (GO:0016881)	17	-	3.50E-01	7.41E-01
translation release factor activity, codon specific (GO:0016149)	1	-	3.50E-01	7.41E-01
mRNA 3'-UTR binding (GO:0003730)	90	+	3.50E-01	7.41E-01
actin filament binding (GO:0051015)	187	-	3.50E-01	7.41E-01
mRNA CDS binding (GO:1990715)	3	-	3.50E-01	7.41E-01
protein histidine phosphatase activity (GO:0101006)	2	-	3.50E-01	7.41E-01
lipase binding (GO:0035473)	4	+	3.51E-01	7.41E-01
5-aminolevulinate synthase activity (GO:0003870)	2	+	3.51E-01	7.41E-01
N-succinyltransferase activity (GO:0016749)	2	+	3.51E-01	7.41E-01
glutamate-tRNA(Gln) ligase activity (GO:0050561)	1	-	3.51E-01	7.41E-01
monocarboxylic acid transmembrane transporter activity (GO:0008028)	40	+	3.51E-01	7.41E-01
glucose dehydrogenase activity (GO:0004344)	1	+	3.51E-01	7.41E-01
glucose 1-dehydrogenase [NAD(P)] activity (GO:0047936)	1	+	3.51E-01	7.40E-01
glucose 1-dehydrogenase (NADP+) activity (GO:0047935)	1	+	3.51E-01	7.40E-01
glucose 1-dehydrogenase (NAD+) activity (GO:0047934)	1	+	3.51E-01	7.40E-01
NADH binding (GO:0070404)	3	+	3.52E-01	7.40E-01
UDP-xylosyltransferase activity (GO:0035252)	9	-	3.52E-01	7.39E-01
xylosyltransferase activity (GO:0042285)	9	-	3.52E-01	7.39E-01
O-acetyl-ADP-ribose deacetylase activity (GO:0061463)	2	-	3.52E-01	7.40E-01
type 5 metabotropic glutamate receptor binding (GO:0031802)	5	-	3.53E-01	7.40E-01
glucagon receptor activity (GO:0004967)	1	-	3.53E-01	7.40E-01
RNA ligase (ATP) activity (GO:0003972)	1	+	3.53E-01	7.41E-01
RNA ligase activity (GO:0008452)	1	+	3.53E-01	7.40E-01
endonuclease activity (GO:0004519)	92	+	3.53E-01	7.40E-01
methylenetetrahydrofolate reductase (NAD(P)H) activity (GO:0004489)	1	+	3.53E-01	7.40E-01
methylenetetrahydrofolate reductase NADPH activity (GO:0106313)	1	+	3.53E-01	7.39E-01
methylenetetrahydrofolate reductase NADH activity (GO:0106312)	1	+	3.53E-01	7.39E-01
alkane 1-monooxygenase activity (GO:0018685)	2	+	3.53E-01	7.40E-01
orexin receptor binding (GO:0042324)	1	+	3.54E-01	7.40E-01
type 2 orexin receptor binding (GO:0031772)	1	+	3.54E-01	7.40E-01
type 1 orexin receptor binding (GO:0031771)	1	+	3.54E-01	7.39E-01
intramolecular transferase activity, phosphotransferases (GO:0016868)	10	-	3.54E-01	7.40E-01
NF-kappaB-inducing kinase activity (GO:0004704)	4	+	3.54E-01	7.40E-01
acetylcholine receptor activity (GO:0015464)	16	-	3.54E-01	7.40E-01
5'-flap endonuclease activity (GO:0017108)	5	+	3.55E-01	7.40E-01
retinoic acid binding (GO:0001972)	12	-	3.55E-01	7.40E-01
amylin binding (GO:0097645)	1	-	3.55E-01	7.39E-01
cysteine-type endopeptidase activator activity (GO:0140608)	1	-	3.55E-01	7.39E-01
zymogen binding (GO:0035375)	1	+	3.55E-01	7.39E-01
NACHT domain binding (GO:0032089)	1	-	3.55E-01	7.39E-01
ribosomal small subunit binding (GO:0043024)	16	+	3.55E-01	7.39E-01
cAMP response element binding protein binding (GO:0008140)	9	+	3.55E-01	7.39E-01
acetyl-CoA carboxylase activity (GO:0003989)	3	-	3.55E-01	7.38E-01
alpha-mannosidase activity (GO:0004559)	13	-	3.56E-01	7.39E-01
8-oxo-7,8-dihydroguanine DNA N-glycosylase activity (GO:0034039)	2	-	3.57E-01	7.41E-01
mRNA cap binding (GO:0098808)	2	-	3.57E-01	7.41E-01
C4-dicarboxylate transmembrane transporter activity (GO:0015556)	15	-	3.57E-01	7.41E-01
cis-trans isomerase activity (GO:0016859)	41	+	3.57E-01	7.41E-01
fatty acid synthase activity (GO:0004312)	10	+	3.58E-01	7.42E-01
macrophage colony-stimulating factor receptor binding (GO:0005157)	2	-	3.58E-01	7.42E-01
type II activin receptor binding (GO:0070699)	3	+	3.58E-01	7.42E-01
talin binding (GO:1990147)	1	+	3.58E-01	7.42E-01
fructose-2,6-bisphosphate 2-phosphatase activity (GO:0004331)	4	+	3.58E-01	7.41E-01
3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity (GO:0003863)	2	-	3.59E-01	7.43E-01
glycerophosphocholine cholinephosphodiesterase activity (GO:0047390)	1	+	3.59E-01	7.43E-01
2-hydroxyphytanoyl-CoA lyase activity (GO:0106376)	1	+	3.59E-01	7.43E-01
2-hydroxy-3-methylhexadecanoyl-CoA lyase activity (GO:0106360)	1	+	3.59E-01	7.42E-01
2-hydroxyacyl-CoA lyase activity (GO:0106359)	1	+	3.59E-01	7.42E-01
calcium:cation antiporter activity (GO:0015368)	11	-	3.60E-01	7.42E-01
lactoylglutathione lyase activity (GO:0004462)	1	-	3.60E-01	7.42E-01
sodium:potassium:chloride symporter activity (GO:0008511)	1	+	3.60E-01	7.42E-01
potassium:sodium symporter activity (GO:0009674)	1	+	3.60E-01	7.41E-01
cytokine receptor binding (GO:0005126)	153	-	3.60E-01	7.42E-01
GAF domain binding (GO:0036004)	1	+	3.61E-01	7.43E-01
urea channel activity (GO:0015265)	1	-	3.61E-01	7.42E-01
delta(3)-delta(2)-enoyl-CoA isomerase activity (GO:0004165)	3	-	3.61E-01	7.42E-01
dIDP phosphatase activity (GO:0097383)	1	+	3.61E-01	7.43E-01
carbohydrate phosphatase activity (GO:0019203)	7	+	3.61E-01	7.42E-01
phosphofructokinase activity (GO:0008443)	6	+	3.61E-01	7.43E-01
hormone binding (GO:0042562)	68	-	3.61E-01	7.42E-01
NAD+ binding (GO:0070403)	14	-	3.62E-01	7.43E-01
interleukin-23 receptor binding (GO:0045519)	1	+	3.62E-01	7.44E-01
peptidyl-asparagine 3-dioxygenase activity (GO:0036140)	1	+	3.63E-01	7.44E-01
hypoxia-inducible factor-asparagine oxygenase activity (GO:0102113)	1	+	3.63E-01	7.44E-01
tRNA-4-demethylwyosine synthase activity (GO:0102521)	1	+	3.63E-01	7.44E-01
alpha-tubulin binding (GO:0043014)	36	-	3.64E-01	7.46E-01
isoprenoid diphosphate phosphatase activity (GO:0106405)	1	+	3.65E-01	7.47E-01
cyclosporin A binding (GO:0016018)	15	+	3.65E-01	7.47E-01
tryptophan-tRNA ligase activity (GO:0004830)	2	+	3.65E-01	7.47E-01
biotin transmembrane transporter activity (GO:0015225)	3	+	3.65E-01	7.47E-01
methylglyoxal synthase activity (GO:0008929)	1	-	3.66E-01	7.48E-01
triose-phosphate isomerase activity (GO:0004807)	1	-	3.66E-01	7.48E-01
neurotrophin receptor binding (GO:0005165)	8	-	3.66E-01	7.48E-01
ephrin receptor binding (GO:0046875)	29	-	3.67E-01	7.49E-01
heparan-alpha-glucosaminide N-acetyltransferase activity (GO:0015019)	1	-	3.67E-01	7.49E-01
S-adenosyl-L-methionine transmembrane transporter activity (GO:0000095)	1	-	3.67E-01	7.49E-01
collagen receptor activity (GO:0038064)	6	-	3.68E-01	7.49E-01
natural killer cell lectin-like receptor binding (GO:0046703)	5	+	3.68E-01	7.50E-01
sodium:proton antiporter activity (GO:0015385)	10	+	3.68E-01	7.50E-01
CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity (GO:0008444)	2	-	3.68E-01	7.49E-01
oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity (GO:0000703)	2	+	3.69E-01	7.50E-01
V1B vasopressin receptor binding (GO:0031895)	1	+	3.69E-01	7.50E-01
V1A vasopressin receptor binding (GO:0031894)	1	+	3.69E-01	7.50E-01
vasopressin receptor binding (GO:0031893)	1	+	3.69E-01	7.49E-01
1-phosphatidylinositol-5-phosphate 4-kinase activity (GO:0016309)	3	+	3.69E-01	7.49E-01
minus-end directed microfilament motor activity (GO:0060001)	1	-	3.69E-01	7.49E-01
m7G(5')pppN diphosphatase activity (GO:0050072)	6	-	3.69E-01	7.49E-01
transmembrane receptor protein serine/threonine kinase activity (GO:0004675)	17	-	3.70E-01	7.50E-01
protein phosphatase regulator activity (GO:0019888)	84	-	3.70E-01	7.51E-01
interferon-gamma receptor binding (GO:0005133)	1	+	3.70E-01	7.51E-01
T cell receptor binding (GO:0042608)	2	-	3.71E-01	7.51E-01
monosaccharide transmembrane transporter activity (GO:0015145)	20	+	3.71E-01	7.52E-01
glutamine-tRNA ligase activity (GO:0004819)	2	+	3.71E-01	7.52E-01
modified amino acid transmembrane transporter activity (GO:0072349)	20	+	3.72E-01	7.52E-01
protein methylesterase activity (GO:0051723)	1	+	3.72E-01	7.52E-01
protein C-terminal methylesterase activity (GO:0051722)	1	+	3.72E-01	7.52E-01
enone reductase activity (GO:0035671)	3	-	3.72E-01	7.52E-01
alkenylglycerophosphoethanolamine hydrolase activity (GO:0047409)	2	+	3.73E-01	7.53E-01
alkenylglycerophosphocholine hydrolase activity (GO:0047408)	2	+	3.73E-01	7.53E-01
1-pyrroline-5-carboxylate dehydrogenase activity (GO:0003842)	1	-	3.73E-01	7.53E-01
peroxisome membrane targeting sequence binding (GO:0033328)	2	-	3.73E-01	7.52E-01
3'-tRNA processing endoribonuclease activity (GO:0042781)	2	-	3.74E-01	7.53E-01
5,10-methylenetetrahydrofolate-dependent methyltransferase activity (GO:0042083)	1	+	3.74E-01	7.53E-01
thymidylate synthase activity (GO:0004799)	1	+	3.74E-01	7.53E-01
P2Y1 nucleotide receptor binding (GO:0031812)	1	-	3.74E-01	7.54E-01
G protein-coupled nucleotide receptor binding (GO:0031811)	1	-	3.74E-01	7.54E-01
protein-N-terminal asparagine amidohydrolase activity (GO:0008418)	2	+	3.75E-01	7.54E-01
linear polyubiquitin binding (GO:1990450)	2	-	3.75E-01	7.54E-01
inhibitory MHC class I receptor activity (GO:0032396)	2	+	3.75E-01	7.54E-01
azole:proton antiporter activity (GO:0045119)	1	+	3.76E-01	7.55E-01
L-histidine, sodium:proton antiporter activity (GO:0140832)	1	+	3.76E-01	7.54E-01
L-asparagine, sodium:proton antiporter activity (GO:0140831)	1	+	3.76E-01	7.54E-01
L-glutamine, sodium:proton antiporter activity (GO:0140830)	1	+	3.76E-01	7.54E-01
epidermal growth factor receptor binding (GO:0005154)	24	-	3.76E-01	7.53E-01
C-5 sterol desaturase activity (GO:0000248)	2	-	3.76E-01	7.53E-01
sterol desaturase activity (GO:0070704)	2	-	3.76E-01	7.53E-01
ceramide binding (GO:0097001)	18	+	3.76E-01	7.53E-01
gonadotropin-releasing hormone receptor binding (GO:0031530)	2	+	3.76E-01	7.53E-01
gonadotropin hormone-releasing hormone activity (GO:0005183)	2	+	3.76E-01	7.52E-01
RNA polymerase I general transcription initiation factor binding (GO:0001179)	1	+	3.76E-01	7.52E-01
RNA polymerase III activity (GO:0001056)	1	+	3.76E-01	7.52E-01
diuretic hormone activity (GO:0008613)	1	+	3.76E-01	7.52E-01
glutaminase activity (GO:0004359)	3	+	3.76E-01	7.52E-01
transmembrane monodehydroascorbate reductase activity (GO:0140575)	4	-	3.77E-01	7.54E-01
hepatocyte growth factor receptor activity (GO:0005008)	1	+	3.78E-01	7.54E-01
nicotinate phosphoribosyltransferase activity (GO:0004516)	1	+	3.80E-01	7.58E-01
collagen V binding (GO:0070052)	2	-	3.80E-01	7.58E-01
glucuronylgalactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase activity (GO:0047237)	3	+	3.80E-01	7.58E-01
N-acylphosphatidylethanolamine-specific phospholipase D activity (GO:0070290)	2	+	3.80E-01	7.58E-01
nucleoside kinase activity (GO:0019206)	9	+	3.81E-01	7.60E-01
gamma-catenin binding (GO:0045295)	11	+	3.82E-01	7.60E-01
tyrosine binding (GO:0072545)	2	-	3.82E-01	7.61E-01
inward rectifier potassium channel activity (GO:0005242)	23	+	3.82E-01	7.60E-01
protein-arginine omega-N symmetric methyltransferase activity (GO:0035243)	4	+	3.83E-01	7.61E-01
G protein-coupled acetylcholine receptor activity (GO:0016907)	7	-	3.83E-01	7.61E-01
protein methyltransferase activity (GO:0008276)	81	+	3.83E-01	7.61E-01
IgE binding (GO:0019863)	3	-	3.83E-01	7.61E-01
