gene	p.alert	p.control	p.orient
OR2H2	0.610416	0.119172	0.160582
OR2L13	0.000491	0.079933	0.00033
OR2L3	0.054966	0.266699	0.00354
OR2L8	0.001215	0.27124	0.00067
OR2M1P	0.31214	0.538776	0.679152
OR2M7	0.925321	0.347971	0.324961
OR2T6	0.010781	0.5469	0.133273
OR2W3	0.631571	0.63643	0.95164
OR2W5	0.17263	0.902444	0.57029
OR2Z1	0.624479	0.578404	0.423602
OR3A1	0.249711	0.231691	0.278967
OR3A2	0.090702	0.995477	0.687418
OR4D10	0.536834	0.610481	0.354433
OR4D2	0.471222	0.71294	0.613008
OR4D6	0.320621	0.742356	0.676338
OR4K2	0.027858	0.556273	0.02237
OR52B6	0.837778	0.910252	0.830494
OR52K2	0.357974	0.32824	0.017084
OR52N2	0.436289	0.460555	0.310493
OR52W1	0.123227	0.299044	0.137284
OR5B17	0.951081	0.681129	0.960913
OR5H1	0.064715	0.183853	0.074865
OR5L2	0.045761	0.051232	0.07617
OR5V1	0.043475	0.840398	0.16329
OR6C65	0.536989	0.928258	0.919349
OR6C76	0.911272	0.039295	0.434232
OR6M1	0.942559	0.338705	0.353571
OR6W1P	0.443991	0.708089	0.565109
OR7E14P	0.233451	0.230257	0.253144
OR7E156P	0.130687	0.763855	0.16535
OR7E24	0.008188	0.006895	0.000454
OR7E2P	0.096329	0.062237	0.034258
OR7E47P	0.000115	0.000102	1.9e-05
OR7E5P	0.987183	0.810461	0.674535
OR7E91P	0.430984	0.172751	0.003104
OR8B12	0.070659	0.483512	0.132211
ORAI1	0.937671	0.141985	0.067294
ORAI2	0.423362	0.920953	0.56169
ORAI3	0.067325	0.093631	0.028228
ORAOV1	0.918472	0.825866	0.289785
ORC2	0.856446	0.672372	0.181411
ORC3	0.924554	0.962549	0.472162
ORC4	0.012417	0.193826	0.001116
ORC5	0.230719	0.84409	0.918459
ORC6	0.008017	0.008302	6.1e-05
ORM1	0.207083	0.551326	0.41022
ORMDL1	0.169034	0.734616	0.094506
ORMDL2	0.136295	0.903404	0.929746
ORMDL3	0.63398	0.203135	0.434311
OS9	0.487133	0.45636	0.276867
OSBP	0.370732	0.129749	0.430955
OSBP2	0.019021	0.031921	3.7e-05
OSBPL10	0.207253	0.451753	0.137888
OSBPL11	0.056374	0.105847	0.013724
OSBPL1A	0.000458	0.058859	0.000114
OSBPL2	0.000389	0.176301	0.004032
OSBPL3	0.0299	0.01982	0.031888
OSBPL5	0.121899	0.648936	0.032357
OSBPL6	0.00014	0.000264	2.3e-05
OSBPL8	0.041734	0.102243	0.000385
OSBPL9	0.759165	0.949284	0.732668
OSCAR	0.099105	0.822262	0.050731
OSCP1	0.098545	0.158276	0.004862
OSER1	0.884272	0.553289	0.169885
OSGEP	0.378129	0.37072	0.371974
OSGEPL1	0.062393	0.316634	0.001448
OSGIN2	0.160518	0.762667	0.094763
OSR2	0.804583	0.247701	0.268493
OST4	0.000132	0.000123	2.4e-05
OSTC	0.423125	0.762681	0.251678
OSTCP1	0.456939	0.647912	0.582
OSTF1	0.00089	0.000833	5.5e-05
OSTM1	0.178296	0.279542	0.104362
OSTN	0.141616	0.116247	0.002127
OTOF	0.147866	0.24958	0.017588
OTOP2	0.110598	0.809125	0.240275
OTOS	0.569616	0.207562	0.083485
OTUB1	0.827661	0.76813	0.29814
OTUB2	0.000188	0.001705	1.7e-05
OTUD1	0.073081	0.067989	0.044475
OTUD3	0.903149	0.130583	0.376634
OTUD4	0.29884	0.527322	0.971112
OTUD5	0.232414	0.003448	0.050128
OTUD6A	0.376875	0.967189	0.970759
OTUD6B	0.44367	0.172328	0.185368
OTUD6B.AS1	0.017885	0.022725	0.000189
OTUD7A	0.002552	0.000741	2.5e-05
OTUD7B	0.377193	0.766729	0.397022
OTULIN	0.154349	0.034681	0.001119
OTX1	0.435764	0.637226	0.679591
OVGP1	0.002768	0.052468	3.3e-05
OVOL2	0.000125	0.000449	2.9e-05
OXA1L	0.119698	0.405848	0.020318
OXCT1	0.036226	0.117373	0.004303
OXCT2	0.019	0.03657	0.005103
OXER1	0.676203	0.826843	0.943661
OXLD1	0.502024	0.08158	0.074241
OXNAD1	0.000522	0.001217	0.000144
OXR1	0.06639	0.299314	0.509388
OXSM	0.586244	0.61519	0.975713
OXSR1	0.00213	0.000327	0.00261
OXT	0.838703	0.995448	0.913607
OXTR	0.009264	0.180935	0.000262
P2RX2	0.47969	0.415512	0.288213
P2RX3	0.311603	0.178433	0.317102
P2RX4	0.648046	0.267651	0.954975
P2RX5	0.004041	0.029421	0.000118
P2RX6	0.000996	0.055378	0.003077
P2RX6P	0.034468	0.658993	0.42503
P2RX7	0.499068	0.574005	0.366331
P2RY1	0.173511	0.581977	0.072938
P2RY12	0.000464	0.001155	3.1e-05
P2RY13	0.00245	0.007101	3.3e-05
P2RY14	0.341597	0.333561	0.137572
P2RY4	0.308925	0.427783	0.288154
P2RY6	0.018134	0.002752	8.6e-05
P3H1	0.024862	0.140463	0.001435
P3H2	0.000197	7.4e-05	2.3e-05
P3H3	0.011572	0.232578	0.00038
P3H4	0.018091	0.054663	0.003946
P4HA1	0.313234	0.857989	0.072934
P4HA2	0.004263	0.001728	2.8e-05
P4HB	0.468047	0.943336	0.268533
P4HTM	0.514912	0.838422	0.890215
PA2G4	0.173272	0.003432	0.005105
PA2G4P4	0.701274	0.08626	0.342865
PAAF1	0.994146	0.94537	0.219847
PABPC1	0.07844	0.022702	0.048058
PABPC1L	0.003118	0.001438	6.3e-05
PABPC1L2A	0.011038	0.103318	0.02113
PABPC1L2B	0.91216	0.873329	0.855944
PABPC3	0.227811	0.347589	0.731179
PABPC4	0.018938	0.035518	0.002617
PABPC5	0.314817	0.032917	0.550546
PACRG	0.000502	0.009506	2.8e-05
PACRG.AS3	0.344842	0.58922	0.622128
PACRGL	0.0097	0.005782	0.000886
PACS1	0.013471	0.001049	0.000133
PACS2	0.066254	0.234156	0.082132
PACSIN1	0.586252	0.875173	0.129233
PACSIN2	0.323062	0.471486	0.106548
PACSIN3	0.145435	0.096876	0.015961
PADI2	0.658711	0.786055	0.438051
PAF1	0.680386	0.116677	0.180232
PAFAH1B1	0.388818	0.282533	0.152375
PAFAH1B2	0.223386	0.342319	0.075727
PAFAH1B3	0.004015	0.000235	3.3e-05
PAFAH2	0.100802	0.296243	0.001985
PAG1	0.000186	0.042253	3.8e-05
PAGR1	0.596931	0.850852	0.042046
PAICS	0.324354	0.537961	0.784812
PAIP1	0.026393	0.271557	0.000535
PAIP2	0.071639	0.001764	0.005721
PAIP2B	0.19742	0.287964	0.094702
PAK1	0.649053	0.749416	0.399904
PAK1IP1	0.517447	0.447364	0.607296
PAK2	0.646655	0.42205	0.910843
PAK3	0.001599	0.025797	0.000265
PAK4	0.884786	0.390838	0.718932
PAK5	0.770813	0.803087	0.356221
PALB2	0.11838	0.040896	0.004786
PALD1	0.574229	0.350889	0.524984
PALLD	0.317849	0.866573	0.368596
PALM	0.002593	0.00117	4.2e-05
PALM2	0.046148	0.303194	0.628431
PALM3	0.045875	0.045018	0.000128
PALMD	0.002983	0.000365	4e-05
PAM	0.616578	0.899843	0.11461
PAMR1	0.000456	0.03644	3.8e-05
PAN2	0.166292	0.498434	0.014433
PAN3	0.765424	0.430385	0.478552
PANK1	0.000349	0.01192	4.7e-05
PANK2	0.91692	0.815222	0.64038
PANK3	0.008478	0.256221	0.005351
PANK4	0.06322	0.268137	0.012076
PANX1	0.527749	0.051827	0.20185
PANX2	0.004328	0.000918	0.00493
PANX3	0.184629	0.679555	0.279634
PAOX	0.450436	0.579295	0.039952
PAPD4	0.049884	0.007514	0.022773
PAPD5	0.905147	0.613412	0.90905
PAPD7	0.03725	0.087299	0.01268
PAPLN	0.033022	0.800311	0.012793
PAPOLA	0.676307	0.345811	0.839272
PAPOLG	0.743254	0.352338	0.471545
PAPSS1	0.0171	0.033176	0.000639
PAPSS2	0.237572	0.022182	0.002936
PAQR3	0.112484	0.013223	0.003691
PAQR4	0.0213	0.066213	0.003848
PAQR6	0.258338	0.333706	0.451922
PAQR7	0.977547	0.758157	0.893791
PAQR8	0.066184	0.015143	0.05101
PAQR9	0.175845	0.798624	0.286456
PARD3	0.026599	0.220443	0.013658
PARD3B	0.009659	0.086296	8.7e-05
PARD6A	0.002882	0.015855	0.021441
PARD6B	6.7e-05	0.001323	2.1e-05
PARD6G	0.282194	0.914745	0.756884
PARD6G.AS1	0.546111	0.863739	0.975688
PARG	0.020684	0.124225	0.001146
PARGP1	0.187224	0.017864	0.005598
PARK7	0.063786	0.878134	0.481242
PARL	0.24381	0.027499	0.225664
PARM1	0.261554	0.070978	0.000614
PARN	0.079082	0.120959	0.192193
PARP1	0.020199	0.080917	0.000324
PARP10	0.302236	0.862725	0.322827
PARP11	0.584455	0.212634	0.250049
PARP12	0.032811	0.593585	0.002873
PARP14	0.054029	0.0916	0.00533
PARP16	0.033558	0.300241	0.001757
PARP2	0.870571	0.025341	0.98616
PARP3	0.000645	0.067954	0.00029
PARP4	0.738717	0.851028	0.579608
PARP6	0.470604	0.430871	0.781615
PARP8	0.007507	0.002004	6.6e-05
PARP9	0.914544	0.904632	0.738679
PARPBP	0.544642	0.156514	0.398065
PARS2	0.88162	0.226708	0.410437
PART1	0.541019	0.642852	0.559103
PARVA	0.604668	0.730095	0.369777
PARVB	0.959628	0.910803	0.959264
PASK	3.3e-05	0.001138	2.1e-05
PATE2	0.060835	0.081653	0.000131
PATE3	0.011463	0.963471	0.053666
PATJ	0.416379	0.254923	0.045885
PATL1	0.171962	0.040742	0.001003
PATZ1	0.511649	0.441449	0.202265
PAWR	0.613458	0.969066	0.508887
PAX4	0.281337	0.667761	0.465
PAX6	0.005236	0.028172	4.6e-05
PAX8	0.11748	0.595212	0.04519
PAX8.AS1	0.02733	0.20173	0.000919
PAX9	0.038695	0.299483	0.164877
PAXBP1	0.518313	0.720699	0.156374
PAXBP1.AS1	0.001249	0.004182	3.6e-05
PAXIP1	0.105611	0.002089	4.5e-05
PAXIP1.AS1	0.000361	0.005078	2.1e-05
PAXIP1.AS2	0.157386	0.558204	0.124644
PAXX	0.931868	0.504764	0.431889
PBDC1	0.377429	0.140761	0.254212
PBLD	0.027096	0.896569	0.039399
PBRM1	0.306844	0.350304	0.027552
PBX1	0.492474	0.189109	0.324765
PBX2	0.440766	0.254221	0.377305
PBX3	0.000691	0.029306	0.004326
PBX4	2.8e-05	3.9e-05	1.2e-05
PBXIP1	0.000465	0.354714	7.3e-05
PC	0.00818	0.759834	0.379932
PCAT19	0.386373	0.560913	0.332004
PCAT6	0.926243	0.187338	0.37368
PCBD1	5.5e-05	0.000332	1.5e-05
PCBD2	0.027538	0.605484	0.002916
PCBP1	0.021686	0.750357	0.026463
PCBP2	0.052348	0.0926	0.008435
PCBP3	0.188492	0.024164	0.000203
PCBP4	0.553388	0.356127	0.755403
PCCA	0.005217	0.015127	0.023124
PCCB	0.533992	0.922849	0.211878
PCDH1	0.047946	0.029635	0.005259
PCDH10	0.074246	0.361117	0.004409
PCDH11X	0.453383	0.290954	0.654855
PCDH11Y	0.677435	0.486877	0.241135
PCDH12	0.000159	0.007058	0.001807
PCDH15	0.000505	0.000783	5.1e-05
PCDH17	0.003323	0.005079	4e-05
PCDH18	0.105129	0.03107	0.00623
PCDH19	0.006357	0.017704	0.000359
PCDH20	5.3e-05	0.000706	1.9e-05
PCDH7	0.029521	0.245031	0.00096
PCDH8	0.070326	0.043972	5.2e-05
PCDH9	0.231167	0.112534	0.08872
PCDHA1	0.811812	0.775046	0.747792
PCDHA11	0.072832	0.663023	0.013477
PCDHA5	0.376592	0.748554	0.05765
PCDHAC2	0.159897	0.121104	0.779055
PCDHB10	0.026514	0.112992	0.001656
PCDHB11	0.461856	0.458513	0.01663
PCDHB12	0.415887	0.279115	0.025944
PCDHB13	0.57525	0.559403	0.283577
PCDHB14	0.414512	0.397869	0.003144
PCDHB15	0.608702	0.726855	0.103412
PCDHB16	0.000214	0.004461	3.9e-05
PCDHB17P	0.069613	0.061985	0.028808
PCDHB18P	0.003566	0.0058	5.1e-05
PCDHB2	0.000903	0.111479	0.002668
PCDHB3	0.433612	0.046133	0.113703
PCDHB4	0.123648	0.684144	0.143306
PCDHB5	0.954986	0.404338	0.385374
PCDHB7	0.97901	0.961517	0.349686
PCDHB8	0.79874	0.15391	0.134291
PCDHB9	0.309897	0.631795	0.232037
PCDHGA12	0.854226	0.449615	0.533629
PCDHGA3	0.514923	0.86992	0.12763
PCDHGA7	0.113291	0.251889	0.004759
PCDHGB2	0.964688	0.424961	0.043341
PCDHGB4	0.574389	0.874819	0.024997
PCDHGB7	0.768383	0.514717	0.516735
PCDHGC3	0.001779	0.106369	8e-05
PCDHGC4	0.820456	0.426082	0.607256
PCDHGC5	0.111691	0.033867	0.090839
PCED1A	0.073127	0.079025	0.033531
PCED1B	0.000312	0.000255	2.6e-05
PCF11	0.624408	0.455572	0.115924
PCGF1	0.000113	0.004967	7.4e-05
PCGF2	0.002463	0.031811	9.9e-05
PCGF3	0.962815	0.949515	0.922066
PCGF5	0.008278	0.09146	0.008709
PCGF6	5.8e-05	0.000903	4.5e-05
PCID2	0.22411	0.043608	0.024374
PCIF1	0.612247	0.390928	0.30592
PCK2	0.000142	0.000679	3.1e-05
PCLO	0.010739	0.877756	0.103898
PCM1	0.435107	0.03454	0.068564
PCMT1	0.963653	0.173107	0.376132
PCMTD1	0.57082	0.199164	0.070788
PCMTD2	0.000457	0.001643	0.002799
PCNA	0.002238	0.242985	0.000445
PCNP	0.215379	0.303417	0.183587
PCNT	0.000172	0.001635	3.1e-05
PCNX1	0.22874	0.942496	0.437621
PCNX2	0.00035	0.060074	2.1e-05
PCNX3	0.061347	0.988095	0.063291
PCNX4	0.683323	0.683897	0.520081
PCOLCE	0.055527	0.813864	0.029707
PCOLCE2	0.000391	5.3e-05	5.5e-05
PCOTH	0.087797	0.000306	0.000189
PCP2	0.939554	0.945576	0.836239
PCP4	0.001221	0.011244	0.002707
PCP4L1	0.004285	0.003002	0.000163
PCSK1	0.000453	0.001089	3.6e-05
PCSK1N	0.528454	0.079927	0.026086
PCSK2	0.539063	0.641595	0.697818
PCSK4	0.405559	0.012556	0.136801
PCSK5	3.7e-05	6.1e-05	1.6e-05
PCSK6	0.275588	0.70679	0.907412
PCSK7	0.48708	0.85652	0.084907
PCSK9	0.886293	0.318587	0.902193
PCTP	0.06779	0.062435	0.035506
PCYOX1	0.085893	0.545059	0.060723
PCYOX1L	0.967005	0.203954	0.201161
PCYT1A	0.244877	0.084583	0.405995
PCYT1B	0.360288	0.941525	0.143345
PCYT2	0.497861	0.874863	0.684911
PDAP1	0.077041	0.023827	0.016048
PDCD1	0.507386	0.741027	0.613673
PDCD10	0.861027	0.623272	0.596474
PDCD11	0.020815	0.488184	0.019138
PDCD2	0.032944	0.246136	0.034208
PDCD2L	0.537414	0.533398	0.10182
PDCD4	0.137152	0.836387	0.956522
PDCD5	0.004447	0.05011	7e-05
PDCD6	0.852361	0.620893	0.390533
PDCD6IP	0.726222	0.745378	0.844032
PDCD7	0.04588	0.04601	0.000926
PDCL	0.014199	0.005535	0.000515
PDCL3	0.003558	0.002214	1.5e-05
PDCL3P4	6.6e-05	1.9e-05	8e-06
PDE10A	0.128348	0.147505	0.049804
PDE11A	0.748237	0.066375	0.039815
PDE12	0.776576	0.734769	0.440051
PDE1A	0.012866	0.004235	8.3e-05
PDE1B	0.496249	0.741114	0.889493
PDE1C	0.474688	0.698431	0.762315
PDE2A	0.000117	6.7e-05	2.1e-05
PDE3A	0.002886	0.027584	0.003038
PDE3B	0.485444	0.448659	0.359367
PDE4A	3e-05	0.004286	2.1e-05
PDE4B	0.041426	0.007456	0.000135
PDE4C	0.378717	0.141089	0.031819
PDE4D	0.963512	0.956119	0.5698
PDE4DIP	0.058696	0.750381	0.383035
PDE4DIPP1	0.986058	0.918522	0.175672
PDE5A	0.631149	0.783577	0.162444
PDE6B	0.170417	0.378384	0.143505
PDE6D	0.386105	0.272042	0.962754
PDE6G	0.537077	0.936626	0.683431
PDE6H	0.653396	0.256102	0.064183
PDE7A	0.142805	0.912757	0.011803
PDE7B	0.284463	0.16453	0.005607
PDE8A	0.994012	0.557991	0.780639
PDE8B	0.593042	0.942682	0.9575
PDE9A	0.348386	0.525942	0.268348
PDGFA	0.26305	0.481525	0.014933
PDGFB	0.067951	0.046978	0.001273
PDGFC	4.9e-05	0.005069	1.4e-05
PDGFD	0.114419	0.03927	0.406461
PDGFRA	6.6e-05	0.005867	2.3e-05
PDGFRB	0.709431	0.843707	0.786338
PDGFRL	0.080294	0.0014	0.000161
PDHA1	0.488513	0.54823	0.321017
PDHB	0.144479	0.04211	0.000777
PDHX	0.074431	0.009131	0.012173
PDIA2	0.67881	0.513288	0.609273
PDIA3	0.028522	0.017099	0.006348
PDIA3P1	0.023637	0.104468	0.009837
PDIA4	0.51538	0.56812	0.334964
PDIA5	0.00486	0.002445	2.4e-05
PDIA6	0.469347	0.580525	0.153391
PDIK1L	0.000615	0.000138	4.3e-05
PDK1	0.07368	0.23031	0.012326
PDK2	0.14842	0.312094	0.045248
PDK3	0.263945	0.222732	0.9627
PDK4	0.074434	0.134358	0.00938
PDLIM2	0.317375	0.014683	0.188593
PDLIM3	6.8e-05	0.001438	6e-06
PDLIM4	0.608811	0.473735	0.335543
PDLIM5	0.000414	0.014946	5.3e-05
PDLIM7	0.998976	0.376919	0.035404
PDP1	0.001613	0.000418	2.3e-05
PDP2	0.035214	0.031694	0.002421
PDPK1	0.113294	0.037574	0.149427
PDPN	0.194746	0.197536	0.043115
PDPR	0.006528	0.129498	0.00039
PDRG1	0.165833	0.026027	0.000197
PDS5A	0.00054	0.06115	5.9e-05
PDS5B	0.007326	0.009169	4.2e-05
PDSS1	0.308061	0.44426	0.108589
PDSS2	0.02966	0.085555	0.079566
PDXDC1	0.797801	0.958398	0.652268
PDXDC2P.NPIPB14P	0.381917	0.563909	0.003107
PDXK	0.001058	0.119426	0.001018
PDXP	0.085778	0.459236	0.029728
PDYN	0.000135	0.000153	0.000247
PDZD11	0.14545	0.215703	0.991636
PDZD2	0.618025	0.834849	0.964021
PDZD4	0.768838	0.714523	0.880666
PDZD7	0.799998	0.663841	0.67023
PDZD8	0.02072	0.063164	0.006855
PDZRN3	0.867999	0.21772	0.067299
PDZRN4	0.00312	0.195838	0.04352
PEA15	0.000226	0.00207	2.7e-05
PEAK1	0.614191	0.533263	0.297691
PEAR1	0.091482	0.396326	0.243652
PEBP1	0.270675	0.474631	0.885794
PEBP4	0.239355	0.443901	0.381254
PECAM1	0.133561	0.009624	0.00235
PECR	0.026447	0.092141	0.001223
PEF1	0.992955	0.787027	0.753152
PEG10	0.000337	0.000427	1.5e-05
PEG3	0.009237	0.003606	4.5e-05
PEG3.AS1	0.023318	0.421694	0.002274
PELI1	0.001872	0.011944	0.000143
PELI2	0.162329	0.515572	0.160195
PELI3	1.8e-05	0.001352	1.6e-05
PELO	0.536325	0.851296	0.12911
PELP1	0.826837	0.09406	0.588933
PEMT	0.333811	0.247153	0.001456
PENK	0.011301	0.034001	0.000336
PEPD	0.000279	0.06274	0.000409
PER1	0.013649	0.159522	0.001643
PER2	0.139886	0.495899	0.206492
PER3	0.778196	0.338223	0.55204
PERM1	0.006827	0.010732	4.8e-05
PERP	0.892008	0.755593	0.91863
PES1	0.579017	0.193823	0.057245
PET100	0.017039	0.001259	4.4e-05
PEX1	0.906467	0.785005	0.340408
PEX10	0.000178	0.006483	2.6e-05
PEX11A	0.446739	0.474287	0.316243
PEX11B	0.042457	0.593818	0.280694
PEX11G	0.840039	0.203702	0.039456
PEX12	0.416944	0.449885	0.252262
PEX13	0.621609	0.944923	0.834509
PEX14	0.21393	0.452736	0.733179
PEX16	0.85036	0.069102	0.082415
PEX19	0.000427	0.002462	1.9e-05
PEX2	0.767956	0.738607	0.582517
PEX26	0.371009	0.096309	0.340578
PEX3	0.679045	0.124232	0.53397
PEX5	0.564396	0.086967	0.066285
PEX5L	0.052355	0.391053	0.029274
PEX6	0.369515	0.947936	0.181599
PEX7	0.924103	0.957667	0.376082
PFAS	0.002887	0.163914	0.000338
PFDN1	0.047286	0.025063	0.009395
PFDN2	0.215492	0.661507	0.001908
PFDN4	0.94524	0.134111	0.592893
PFDN5	0.080561	0.000699	0.000597
PFDN6	0.150299	0.788383	0.098082
PFKFB2	0.005548	0.000595	5.9e-05
PFKFB3	0.147507	0.061351	0.007964
PFKFB4	0.681978	0.427254	0.631731
PFKL	0.214831	0.364611	0.096347
PFKM	0.010531	0.003874	0.004662
PFKP	0.002187	0.007135	0.009566
PFN1	0.026576	0.057868	0.003305
PFN1P2	0.446713	0.695304	0.290502
PFN2	0.526082	0.104104	0.255202
PFN4	0.581593	0.544616	0.404378
PGAM1	0.217402	0.459238	0.753307
PGAM1P5	0.911291	0.888981	0.560133
PGAM2	0.004855	0.001957	3.6e-05
PGAM4	0.634648	0.518703	0.73553
PGAM5	0.062	0.007834	1e-04
PGAP1	3.1e-05	0.00017	1.7e-05
PGAP2	0.051317	0.090953	0.010568
PGAP3	0.020014	0.01984	0.008539
PGBD1	0.48779	0.156609	0.22349
PGBD2	0.168187	0.478912	0.876585
PGBD4	0.001303	0.006829	0.000357
PGBD5	0.688066	0.282657	0.608435
PGD	0.014612	0.051632	0.008345
PGGHG	0.020768	0.006824	0.000326
PGGT1B	0.60578	0.563137	0.797758
PGK1	0.003149	0.080591	0.00364
PGLS	0.022125	0.048287	0.000918
PGM1	0.125502	0.857743	0.018906
PGM2	0.70911	0.764763	0.759015
PGM2L1	6.7e-05	5.2e-05	1.9e-05
PGM3	0.269029	0.070772	0.421843
PGP	0.016324	0.398221	0.026525
PGPEP1	0.397664	0.257729	0.486577
PGRMC1	0.000188	0.003021	2.9e-05
PGRMC2	0.518499	0.560717	0.277585
PGS1	0.365621	0.707381	0.819555
PHACTR1	0.335252	0.235014	0.005461
PHACTR2	0.997736	0.95858	0.925003
PHACTR3	0.067401	0.398666	0.009298
PHACTR4	0.012038	0.110193	0.00125
PHAX	0.638547	0.291602	0.050897
PHB	0.783278	0.085667	0.571503
PHB2	0.678862	0.658907	0.8335
PHC1	0.132546	0.00368	0.002053
PHC2	0.551808	0.364055	0.007807
PHC3	0.265203	0.60962	0.648247
PHF1	0.139436	0.064905	0.098155
PHF10	0.006642	0.265815	5.7e-05
PHF12	0.084837	0.122737	0.116645
PHF13	0.009759	0.001301	0.000147
PHF14	0.056638	0.072884	0.035401
PHF19	0.294878	0.912539	0.109033
PHF2	0.454331	0.569242	0.068637
PHF20	0.839888	0.852285	0.986635
PHF20L1	0.074466	0.60171	0.01715
PHF21A	0.191319	0.085413	0.087578
PHF21B	0.418712	0.279826	0.018861
PHF23	0.011754	0.038319	0.242248
PHF24	0.332287	0.267596	0.030039
PHF3	0.573555	0.992704	0.29838
PHF5A	0.372211	0.12695	0.030271
PHF6	0.014033	0.10148	0.008048
PHF8	0.07414	0.471513	0.0042
PHGDH	0.008082	0.049694	0.000212
PHGR1	0.296705	0.460516	0.098451
PHIP	0.857392	0.839003	0.317352
PHKA1	0.962142	0.874959	0.604517
PHKA2	0.009511	0.176511	0.000263
PHKB	0.777104	0.722456	0.612485
PHKG2	0.068427	0.22328	0.38115
PHLDA1	0.046414	0.138688	0.276764
PHLDA2	0.004529	0.006823	0.008921
PHLDA3	0.063451	0.534913	0.514661
PHLDB1	0.808437	0.516681	0.783867
PHLDB2	0.709526	0.781556	0.404508
PHLDB3	0.000547	5.5e-05	2e-05
PHLPP1	0.506845	0.206883	0.195937
PHLPP2	0.293463	0.576333	0.078744
PHOSPHO1	0.09751	0.811901	0.256066
PHOSPHO2	0.0012	0.274029	0.004454
PHOX2A	0.639574	0.02203	0.045165
PHPT1	0.000942	0.000355	2.5e-05
PHRF1	0.547094	0.01974	0.209374
PHTF1	0.000296	0.00039	3.5e-05
PHTF2	0.706512	0.976536	0.400801
PHYH	6e-05	9.8e-05	1.9e-05
PHYHD1	0.013193	0.430444	0.000536
PHYHIP	0.198728	0.831992	0.23333
PHYHIPL	0.647408	0.375594	0.029585
PHYKPL	0.732545	0.472703	0.812789
PI16	0.320924	0.30815	0.007294
PI3	0.627944	0.987509	0.541711
PI4K2A	0.000447	0.015035	5.3e-05
PI4K2B	0.251639	0.825048	0.717554
PI4KA	0.098072	0.240004	0.014402
PI4KAP2	0.410427	0.698004	0.872782
PI4KB	0.888564	0.932099	0.524426
PIANP	0.109378	0.138015	0.005121
PIAS1	0.089395	0.152295	0.464229
PIAS2	0.245614	0.153656	0.004454
PIAS3	0.000231	3.6e-05	2.1e-05
PIAS4	0.243397	0.287267	0.073155
PIBF1	0.008142	0.002657	0.000295
PICALM	0.873456	0.947843	0.902621
PICK1	0.248001	0.613651	0.575247
PICSAR	0.492009	0.232381	0.05235
PID1	0.000676	0.006934	3e-05
PIDD1	0.270331	0.773595	0.016806
PIEZO1	0.073285	0.22987	0.004041
PIEZO2	0.989296	0.838462	0.806075
PIF1	7.8e-05	0.002885	2.5e-05
PIFO	0.000674	0.003191	1.5e-05
PIGA	0.056217	0.01738	0.016486
PIGB	0.55353	0.88084	0.96909
PIGC	0.009624	0.06048	0.000297
PIGF	0.000399	0.011508	2.3e-05
PIGG	0.94787	0.892322	0.827715
PIGH	0.684055	0.162535	0.845018
PIGK	0.959482	0.495877	0.304878
PIGL	0.020892	0.00287	3.1e-05
PIGM	0.481743	0.426688	0.281265
PIGN	0.708091	0.683824	0.733011
PIGO	0.444704	0.63108	0.144319
PIGP	0.155762	0.110651	0.000348
PIGQ	0.002253	0.00268	6.8e-05
PIGS	0.763609	0.742632	0.811095
PIGT	0.111663	0.614346	0.821684
PIGU	0.067626	0.045957	0.009881
PIGV	0.553228	0.319804	0.028783
PIGX	0.359185	0.20171	0.207416
PIGZ	0.556553	0.049592	0.066002
PIH1D1	0.826996	0.306578	0.907361
PIH1D2	0.392533	0.988234	0.907914
PIK3AP1	0.047935	0.450393	0.202061
PIK3C2A	0.21337	0.914126	0.108007
PIK3C2B	0.947407	0.584314	0.595511
PIK3C3	0.021809	0.003361	0.007768
PIK3CA	0.004831	0.010797	3.7e-05
PIK3CB	0.002884	0.056838	5.5e-05
PIK3CD	0.776914	0.409211	0.221347
PIK3IP1	0.003868	0.025125	0.000816
PIK3R1	0.383186	0.050971	0.005946
PIK3R2	0.115076	0.272858	0.266296
PIK3R4	0.005364	0.01453	6.8e-05
PIK3R5	0.940944	0.705722	0.846174
PIKFYVE	0.261247	0.011144	0.035353
PILRA	0.590458	0.773031	0.02148
PIM1	0.000312	0.026595	5.4e-05
PIM2	0.052888	0.039276	0.002114
PIM3	3.3e-05	3e-05	1.7e-05
PIN1	0.31535	0.250926	0.009758
PIN1P1	0.249464	0.516402	0.028862
PIN4	0.580188	0.379455	0.324793
PIN4P1	0.007251	0.092786	8.9e-05
PINK1	0.466333	0.604893	0.992335
PINK1.AS	0.570751	0.769169	0.997773
PINLYP	2.9e-05	0.000437	1.9e-05
PINX1	0.001906	0.001087	5.3e-05
PIP	0.25666	0.871285	0.254984
PIP4K2A	0.12962	0.274816	0.268034
PIP4K2B	0.124822	0.048795	0.0389
PIP4K2C	0.000583	0.017546	8.1e-05
PIP4P1	0.81062	0.713895	0.363843
PIP4P2	0.008204	0.008863	0.00019
PIP5K1A	0.315529	0.561093	0.024198
PIP5K1B	0.076223	0.10013	0.003448
PIP5K1C	5.6e-05	0.000363	3.7e-05
PIP5KL1	0.001154	0.007941	3.7e-05
PIPOX	0.69967	0.944749	0.935869
PIPSL	0.395829	0.261762	0.002887
PIR	0.261799	0.327234	0.009859
PIRT	0.003198	0.000117	3.2e-05
PISD	0.664287	0.926277	0.723573
